type,text
link,Home
link,Random
link,Nearby
link,Log in
link,Settings
link,Donate
link,About Wikipedia
link,Disclaimers
link,Article
link,Talk
link,Language
link,Watch
link,View source
link,magazine
link,Frank Munsey
link,John Kendrick Bangs
link,American News Company
link,pretty young woman on the cover
link,O. Henry
link,H. Rider Haggard
link,Arthur Conan Doyle
link,Bret Harte
link,Max Brand
link,Edgar Rice Burroughs
link,P. G. Wodehouse
link,Joseph Conrad
link,Ella Wheeler Wilcox
link,Argosy
link,subscriptions
link,McClure's
link,Cosmopolitan
link,Everybody's Magazine
link,1 Publication history
link,1.1 Munsey's Weekly
link,1.2 Munsey's Magazine
link,1.3 Later years
link,2 Contents and reception
link,2.1 19th century
link,2.2 20th century
link,3 Assessment
link,4 Bibliographic details
link,4.1 Other details
link,5 Notes
link,6 References
link,7 Sources
link,8 External links
link,Frank Munsey
link,"Augusta, Maine"
link,[1]
link,The Golden Argosy
link,[2]
link,[3]
link,[4]
link,[5]
link,[note 1]
link,[9]
link,[10]
link,quarto
link,[note 2]
link,[8]
link,Life
link,John Kendrick Bangs
link,[8]
link,Harper's
link,serialized
link,Daily Continent
link,[12]
link,New York Star
link,[13]
link,[14]
link,[15]
link,[16]
link,[17]
link,Printers' Ink
link,[18]
link,[14]
link,[19]
link,[note 3]
link,[19]
link,[21]
link,[10]
link,[19]
link,Panic of 1893
link,[10]
link,Ladies' Home Journal
link,[22]
link,[23]
link,[24]
link,McClure's
link,Cosmopolitan
link,[22]
link,[25]
link,[21]
link,[26]
link,American News Company
link,[27]
link,[26]
link,[28]
link,[29]
link,[30]
link,Charles Dana
link,Sun
link,[26]
link,[28]
link,[29]
link,[31]
link,[32]
link,[6]
link,[32]
link,[32]
link,[33]
link,Everybody's Magazine
link,muckraking
link,[note 4]
link,[35]
link,[36]
link,[37]
link,[6]
link,Rotary presses
link,[38]
link,pulp
link,pulp magazine
link,signatures
link,[39]
link,[note 5]
link,[43]
link,[36]
link,halftones
link,woodcuts
link,[36]
link,[44]
link,[36]
link,Three-color covers
link,flatbed printing
link,[45]
link,[46]
link,[47]
link,[48]
link,All-Story
link,[49]
link,William Dewart
link,[50]
link,[51]
link,[52]
link,[53]
link,society
link,"Washington, D.C."
link,[8]
link,Charles Howard Johnson
link,E. L. Durand
link,[8]
link,[54]
link,Frank Luther Mott
link,[8]
link,[55]
link,[14]
link,[14]
link,[26]
link,Horatio Alger
link,[26]
link,[56]
link,[26]
link,[57]
link,[58]
link,Hall Caine
link,F. Marion Crawford
link,H. Rider Haggard
link,Anthony Hope Hawkins
link,Myrtle Reed
link,Grace MacGowan Cooke
link,Ella Wheeler Wilcox
link,[57]
link,[59]
link,[60]
link,[61]
link,[53]
link,The Independent
link,[6]
link,[62]
link,[6]
link,[26]
link,[57]
link,Wilkes-Barre
link,[6]
link,[57]
link,Spanish–American War
link,[24]
link,Theodore Dreiser
link,Theodore Roosevelt
link,Thomas B. Reed
link,Arthur Conan Doyle
link,Bret Harte
link,Frank R. Stockton
link,[57]
link,[24]
link,[24]
link,muckraking
link,[63]
link,Republican
link,Progressive Party
link,Republican convention
link,[63]
link,Bob Davis
link,New York Sunday News
link,[64]
link,O. Henry
link,[65]
link,[66]
link,[67]
link,[68]
link,World War I
link,Robert Lansing
link,William C. Redfield
link,Franklin Knight Lane
link,[47]
link,[note 6]
link,Richard Le Gallienne
link,Brander Matthews
link,Ann O'Hagan
link,P. G. Wodehouse
link,Joseph Conrad
link,Arnold Bennett
link,pulp magazines
link,slicks
link,Max Brand
link,Edgar Rice Burroughs
link,[49]
link,science fiction
link,The Last Man on Earth
link,E. F. Benson
link,[72]
link,circus freaks
link,Freaks
link,[73]
link,[72]
link,[74]
link,[75]
link,McClure's Magazine
link,Cosmopolitan
link,first move
link,[76]
link,[77]
link,[78]
link,[78]
link,[79]
link,[80]
link,[81]
link,[81]
link,[82]
link,[74]
link,[83]
link,[53]
link,[8]
link,[14]
link,[19]
link,[84]
link,[note 7]
link,[87]
link,[88]
link,[89]
link,Horace Marshall & Son
link,[36]
link,^
link,[6]
link,[7]
link,[8]
link,^
link,saddle-stapled
link,[11]
link,^
link,magazines printed on pulp paper
link,[20]
link,^
link,[34]
link,^
link,[40]
link,[41]
link,[42]
link,^
link,[69]
link,[70]
link,[71]
link,^
link,[84]
link,[85]
link,[86]
link,^
link,^
link,^
link,^
link,^
link,a
link,b
link,c
link,d
link,e
link,f
link,^
link,a
link,b
link,c
link,d
link,e
link,f
link,g
link,^
link,a
link,b
link,c
link,^
link,"""FictionMags Index Family: Notes"""
link,^
link,^
link,a
link,b
link,c
link,d
link,e
link,^
link,^
link,^
link,^
link,a
link,b
link,c
link,d
link,^
link,"""FictionMags Index Family: Notes"""
link,a
link,b
link,a
link,b
link,^
link,a
link,b
link,c
link,d
link,^
link,a
link,b
link,c
link,d
link,e
link,f
link,g
link,^
link,a
link,b
link,a
link,b
link,^
link,"""The Reader Pays It"""
link,^
link,a
link,b
link,c
link,^
link,^
link,^
link,a
link,b
link,c
link,d
link,e
link,^
link,^
link,^
link,^
link,^
link,^
link,^
link,^
link,^
link,^
link,a
link,b
link,^
link,a
link,b
link,^
link,^
link,"""Magazine Data File"""
link,^
link,"""The Argosy & Related Magazines"""
link,a
link,b
link,c
link,"""Munsey's Magazine"""
link,^
link,^
link,^
link,"""Magazine Contents Lists: Page 763"""
link,Archived
link,a
link,b
link,c
link,d
link,e
link,^
link,"""Magazine Contents Lists: Page 765"""
link,Archived
link,^
link,^
link,"""Magazine Contents Lists: Page 234"""
link,Archived
link,^
link,^
link,a
link,b
link,^
link,^
link,^
link,"""Index by Date: Page 3261"""
link,Archived
link,^
link,"""Index by Date: Page 3262"""
link,Archived
link,^
link,^
link,"""Biographies of the Secretaries of State: Robert Lansing (1864–1928)"""
link,^
link,"""Redfield, William Cox: 1858–1932"""
link,^
link,"""Franklin Knight Lane: 1864–1921"""
link,a
link,b
link,"""SFE: Munsey's Magazine"""
link,The Encyclopedia of Science Fiction
link,Archived
link,^
link,a
link,b
link,^
link,^
link,^
link,a
link,b
link,^
link,^
link,a
link,b
link,^
link,^
link,a
link,b
link,^
link,^
link,^
link,^
link,"""Munsey's weekly [search]"""
link,WorldCat
link,^
link,"""Virtual Card Catalog"""
link,"""The Pay of Writers"""
link,"""Important Notice"""
link,"""Printers' Ink"""
link,"""Cheap Magazines"""
link,"""Impressions by the Way"""
link,"""The Author & Journalist's Handy Market List for Literary Workers"""
link,The Author & Journalist
link,John Kendrick Bangs: Humorist of the Nineties
link,OCLC
link,188692
link,ISBN
link,0-8046-1513-6
link,OCLC
link,1343034
link,ISBN
link,978-0-86729-020-2
link,OCLC
link,49312554
link,ISBN
link,0-313-25674-8
link,"""The Short Short Story"""
link,Writer's Digest
link,ISBN
link,1-886937-45-1
link,ISBN
link,978-1-4910-1093-8
link,History of American Journalism
link,OCLC
link,1310294852
link,"""Comic Papers and Their Editors"""
link,OCLC
link,174734464
link,"Moskowitz, Sam"
link,"Holt, Rinehart and Winston"
link,ISBN
link,0-03-081858-3
link,"Mott, Frank Luther"
link,Harvard University Press
link,OCLC
link,52515840
link,"Mott, Frank Luther"
link,Harvard University Press
link,OCLC
link,228067774
link,"Mott, Frank Luther"
link,Harvard University Press
link,OCLC
link,7046569298
link,"""Getting On In Journalism"""
link,"""The Making and Marketing of Munsey's Magazine"""
link,"Munsey, Frank A."
link,The Story of the Founding and Development of the Munsey Publishing-House
link,The De Vinne Press
link,OCLC
link,7003678
link,Creating the Modern Man: American Magazines and Consumer Culture 1900–1950
link,ISBN
link,0-8262-1280-8
link,ISBN
link,0-8020-4214-7
link,The Dream of a New Social Order: Popular Magazines in America 1893–1914
link,ISBN
link,0-231-08290-8
link,"Server, Lee"
link,ISBN
link,0-8160-4578-X
link,ISBN
link,0-8204-7617-X
link,The American Magazine: A Compact History
link,OCLC
link,45820
link,Munsey's Magazine
link,Munsey's Magazine
link,HathiTrust
link,Internet Archive full text copies
link,https://en.wikipedia.org/w/index.php?title=Munsey%27s_Magazine&oldid=1227792974
link,"Last edited on 7 June 2024, at 20:36"
link,עברית
link,CC BY-SA 4.0
link,Privacy policy
link,About Wikipedia
link,Disclaimers
link,Contact Wikipedia
link,Code of Conduct
link,Developers
link,Statistics
link,Cookie statement
link,Terms of Use
link,Desktop
